area_code;timestamp;num_meter;value_kwh;DateTimeUTC;PLZ;Date;Day;Month;Year;Time;Hour;Minute;DayOfWeek
6112;2024-02-17T12:30:00.000Z;400;56.724;2024-02-17 12:30:00+00:00;6112;2024-02-17;17;2;2024;12:30:00;12;30;6
6112;2024-02-17T12:45:00.000Z;400;61.950;2024-02-17 12:45:00+00:00;6112;2024-02-17;17;2;2024;12:45:00;12;45;6
6112;2024-02-18T12:00:00.000Z;400;40.938;2024-02-18 12:00:00+00:00;6112;2024-02-18;18;2;2024;12:00:00;12;0;7
6112;2024-02-18T12:15:00.000Z;400;38.783;2024-02-18 12:15:00+00:00;6112;2024-02-18;18;2;2024;12:15:00;12;15;7
6112;2024-02-18T12:30:00.000Z;400;44.827;2024-02-18 12:30:00+00:00;6112;2024-02-18;18;2;2024;12:30:00;12;30;7
6112;2024-02-18T12:45:00.000Z;400;42.993;2024-02-18 12:45:00+00:00;6112;2024-02-18;18;2;2024;12:45:00;12;45;7
6112;2024-02-19T12:00:00.000Z;399;48.104;2024-02-19 12:00:00+00:00;6112;2024-02-19;19;2;2024;12:00:00;12;0;1
6112;2024-02-19T12:15:00.000Z;399;50.967;2024-02-19 12:15:00+00:00;6112;2024-02-19;19;2;2024;12:15:00;12;15;1
6112;2024-02-19T12:30:00.000Z;399;52.398;2024-02-19 12:30:00+00:00;6112;2024-02-19;19;2;2024;12:30:00;12;30;1
6112;2024-02-19T12:45:00.000Z;399;52.462;2024-02-19 12:45:00+00:00;6112;2024-02-19;19;2;2024;12:45:00;12;45;1
